episode,color_idx,shape_idx,size_idx,success,token_0,token_1,token_2
197,2,0,1,1,3,6,1
198,1,2,0,1,3,5,0
199,2,1,0,0,4,5,0
200,2,0,1,1,3,6,1
201,2,2,1,1,3,6,6
202,0,0,0,1,4,5,9
203,2,0,1,0,3,6,1
204,1,1,1,1,3,6,8
205,0,2,0,1,3,5,0
206,2,2,1,1,3,6,6
207,0,2,1,1,3,6,6
208,2,1,0,0,4,5,0
209,0,2,1,1,3,6,6
210,0,0,1,0,3,6,1
211,0,0,0,1,4,5,9
212,1,1,0,1,4,5,0
213,2,2,1,0,3,6,6
214,0,0,1,1,3,6,1
215,2,2,1,1,3,6,6
216,1,1,1,1,3,6,8
217,1,1,0,1,4,5,0
218,2,0,0,1,4,5,9
219,0,1,0,0,4,5,0
220,0,0,1,1,3,6,1
221,2,1,1,1,3,6,8
222,1,0,0,1,4,5,9
223,0,1,0,0,4,5,0
224,2,2,0,1,3,5,0
225,2,2,1,1,3,6,6
226,0,0,0,0,4,5,9
227,2,2,0,1,3,5,0
228,2,1,0,1,4,5,0
229,0,0,0,1,4,5,9
230,1,2,1,1,3,6,6
231,2,1,1,1,3,6,8
232,0,1,0,1,4,5,0
233,1,0,1,0,3,6,1
234,0,2,0,1,3,5,0
235,0,2,0,1,3,5,0
236,2,2,0,1,3,5,0
237,0,0,1,1,3,6,1
238,0,0,1,1,3,6,1
239,1,2,1,1,3,6,6
240,2,2,0,1,3,5,0
241,1,1,0,1,4,5,0
242,2,2,0,0,3,5,0
243,1,2,0,1,3,5,0
244,2,2,0,0,3,5,0
245,1,0,0,1,4,5,9
246,2,0,0,1,4,5,9
247,2,1,1,1,3,6,8
248,2,1,1,1,3,6,8
249,0,2,1,0,3,6,6
250,0,1,0,0,4,5,0
251,1,2,0,1,3,5,0
252,0,2,1,1,3,6,6
253,0,2,1,1,3,6,6
254,0,0,0,1,4,5,9
255,1,2,1,1,3,6,6
256,1,1,0,1,4,5,0
257,1,0,1,1,3,6,1
258,1,2,0,1,3,5,0
259,1,1,0,1,4,5,0
260,0,2,1,0,3,6,6
261,1,2,0,1,3,5,0
262,2,0,0,0,4,5,9
263,0,1,0,1,4,5,0
264,1,0,0,1,4,5,9
265,2,2,1,0,3,6,6
266,2,1,1,1,3,6,8
267,2,2,1,1,3,6,6
268,2,1,1,1,3,6,8
269,1,1,0,1,4,5,0
270,2,2,1,0,3,6,6
271,0,2,0,0,3,5,0
272,1,1,1,1,3,6,8
273,0,2,0,0,3,5,0
274,0,2,1,1,3,6,6
275,0,1,1,1,3,6,8
276,1,2,0,1,3,5,0
277,2,2,0,1,3,5,0
278,1,0,1,0,3,6,1
279,2,0,0,0,4,5,9
280,1,0,1,1,3,6,1
281,2,0,0,1,4,5,9
282,0,1,1,1,3,6,8
283,2,1,0,0,4,5,0
284,1,2,1,1,3,6,6
285,0,2,1,1,3,6,6
286,0,2,0,1,3,5,0
287,2,0,0,0,4,5,9
288,1,2,0,1,3,5,0
289,2,2,0,0,3,5,0
290,2,0,1,1,3,6,1
291,0,2,0,0,3,5,0
292,0,2,1,1,3,6,6
293,2,1,0,0,4,5,0
294,1,0,1,0,3,6,1
295,0,2,1,1,3,6,6
296,1,0,0,1,4,5,9
297,1,2,1,0,3,6,6
298,0,2,1,0,3,6,6
299,2,1,0,1,4,5,0
300,0,1,0,0,4,5,0
301,0,2,1,1,3,6,6
302,1,0,1,0,3,6,1
303,2,1,1,1,3,6,8
304,2,0,0,1,4,5,9
305,2,2,0,1,3,5,0
306,2,1,1,1,3,6,8
307,0,0,1,0,3,6,1
308,2,2,0,1,3,5,0
309,1,0,0,1,4,5,9
310,0,0,1,1,3,6,1
311,1,2,0,1,3,5,0
312,0,1,1,1,3,6,8
313,0,1,1,0,3,6,8
314,0,0,0,1,4,5,9
315,0,0,1,1,3,6,1
316,2,2,0,0,3,5,0
317,0,0,1,0,3,6,1
318,0,1,0,0,4,5,0
319,0,1,1,0,3,6,8
320,1,0,1,1,3,6,1
321,1,2,0,1,3,5,0
322,1,0,1,1,3,6,1
323,2,1,1,1,3,6,8
324,1,1,0,1,4,5,0
325,0,0,0,0,4,5,9
326,2,0,1,1,3,6,1
327,0,0,0,0,4,5,9
328,1,0,1,0,3,6,1
329,2,0,0,1,4,5,9
330,1,1,0,1,4,5,0
331,1,2,0,1,3,5,0
332,2,0,0,0,4,5,9
333,1,2,0,1,3,5,0
334,2,2,1,1,3,6,6
335,1,1,1,0,3,6,8
336,2,1,0,1,4,5,0
337,2,0,1,1,3,6,1
338,1,2,1,0,3,6,6
339,1,2,1,0,3,6,6
340,0,0,1,1,3,6,1
341,1,1,0,0,4,5,0
342,1,1,1,0,3,6,8
343,0,0,1,0,3,6,1
344,2,1,0,0,4,5,0
345,1,2,1,1,3,6,6
346,1,0,1,0,3,6,1
347,0,2,1,0,3,6,6
348,2,1,1,1,3,6,8
349,2,0,1,1,3,6,1
350,1,2,0,1,3,5,0
351,2,0,1,0,3,6,1
352,2,0,0,1,4,5,9
353,1,0,1,1,3,6,1
354,1,2,0,1,3,5,0
355,2,1,0,1,4,5,0
356,0,0,0,1,4,5,9
357,1,0,1,1,3,6,1
358,0,1,1,1,3,6,8
359,1,0,1,1,3,6,1
360,0,2,0,1,3,5,0
361,0,1,0,1,4,5,0
362,0,1,1,0,3,6,8
363,0,1,0,1,4,5,0
364,1,0,0,1,4,5,9
365,1,2,1,1,3,6,6
366,1,0,1,0,3,6,1
367,1,1,0,1,4,5,0
368,1,2,0,1,3,5,0
369,1,1,1,1,3,6,8
370,2,2,0,0,3,5,0
371,1,1,0,1,4,5,0
372,0,0,0,0,4,5,9
373,0,0,0,0,4,5,9
374,1,0,0,1,4,5,9
375,2,1,1,1,3,6,8
376,2,2,0,0,3,5,0
377,0,2,0,1,3,5,0
378,0,2,1,1,3,6,6
379,2,0,1,1,3,6,1
380,2,2,1,1,3,6,6
381,1,2,1,1,3,6,6
382,1,0,1,1,3,6,1
383,2,2,1,0,3,6,6
384,2,1,0,1,4,5,0
385,2,2,0,1,3,5,0
386,1,1,0,0,4,5,0
387,1,2,1,1,3,6,6
388,2,0,1,1,3,6,1
389,1,2,1,1,3,6,6
390,1,2,1,1,3,6,6
391,1,1,0,1,4,5,0
392,0,2,0,1,3,5,0
393,1,1,0,1,4,5,0
394,1,2,1,1,3,6,6
395,0,2,1,0,3,6,6
396,0,0,1,0,3,6,1
397,2,2,1,1,3,6,6
398,1,0,0,1,4,5,9
399,0,1,1,1,3,6,8
400,0,2,1,1,3,6,6
401,0,2,0,0,3,5,0
402,1,0,1,0,3,6,1
403,1,0,1,1,3,6,1
404,0,0,1,0,3,6,1
405,2,1,1,0,3,6,8
406,2,2,1,1,3,6,6
407,0,2,0,1,3,5,0
408,2,2,0,1,3,5,0
409,0,0,1,1,3,6,1
410,0,2,1,1,3,6,6
411,2,1,0,0,4,5,0
412,1,1,1,0,3,6,8
413,2,1,1,1,3,6,8
414,1,2,0,1,3,5,0
415,1,1,1,1,3,6,8
416,2,2,1,0,3,6,6
417,2,1,1,1,3,6,8
418,2,0,1,1,3,6,1
419,0,0,0,0,4,5,9
420,1,1,0,0,4,5,0
421,2,2,0,1,3,5,0
422,2,0,0,1,4,5,9
423,2,1,1,1,3,6,8
424,2,1,0,0,4,5,0
425,0,1,1,0,3,6,8
426,0,1,1,1,3,6,8
427,2,1,0,1,4,5,0
428,0,0,0,0,4,5,9
429,2,1,1,1,3,6,8
430,2,1,0,1,4,5,0
431,0,2,0,1,3,5,0
432,1,2,1,1,3,6,6
433,1,2,1,1,3,6,6
434,1,1,1,0,3,6,8
435,2,1,1,0,3,6,8
436,2,2,1,1,3,6,6
437,2,1,0,1,4,5,0
438,0,1,1,1,3,6,8
439,1,0,1,1,3,6,1
440,1,1,0,1,4,5,0
441,2,2,0,1,3,5,0
442,1,2,0,0,3,5,0
443,2,2,1,0,3,6,6
444,2,1,1,1,3,6,8
445,0,1,0,1,4,5,0
446,0,1,1,1,3,6,8
447,0,1,1,0,3,6,8
448,1,1,0,1,4,5,0
449,2,1,1,0,3,6,8
450,2,1,1,1,3,6,8
451,1,1,1,0,3,6,8
452,2,2,1,1,3,6,6
453,2,0,0,0,4,5,9
454,2,0,1,1,3,6,1
455,2,1,0,1,4,5,0
456,2,0,0,1,4,5,9
457,2,0,0,0,4,5,9
458,0,2,1,1,3,6,6
459,0,2,0,0,3,5,0
460,2,2,0,1,3,5,0
461,2,0,0,1,4,5,9
462,0,1,1,1,3,6,8
463,0,0,0,1,4,5,9
464,1,2,0,1,3,5,0
465,1,0,1,0,3,6,1
466,2,1,1,1,3,6,8
467,2,1,1,1,3,6,8
468,0,2,0,1,3,5,0
469,0,2,1,0,3,6,6
470,2,0,0,0,4,5,9
471,0,2,1,1,3,6,6
472,2,2,0,1,3,5,0
473,0,0,0,1,4,5,9
474,1,2,1,1,3,6,6
475,0,0,0,0,4,5,9
476,1,0,1,0,3,6,1
477,0,1,0,0,4,5,0
478,2,2,0,1,3,5,0
479,1,2,1,1,3,6,6
480,1,1,1,1,3,6,8
481,0,2,1,0,3,6,6
482,0,1,1,0,3,6,8
483,0,2,0,1,3,5,0
484,1,0,0,1,4,5,9
485,0,1,0,0,4,5,0
486,2,1,0,0,4,5,0
487,2,1,0,1,4,5,0
488,0,0,0,1,4,5,9
489,0,2,1,0,3,6,6
490,0,0,1,1,3,6,1
491,1,1,1,1,3,6,8
492,1,0,1,1,3,6,1
493,0,1,1,1,3,6,8
494,1,2,1,1,3,6,6
495,0,2,1,0,3,6,6
496,0,0,1,0,3,6,1
497,1,0,0,1,4,5,9
498,2,1,1,1,3,6,8
499,0,0,0,1,4,5,9
500,1,1,0,0,4,5,0
501,2,2,0,0,3,5,0
502,1,0,0,1,4,5,9
503,0,0,1,0,3,6,1
504,2,2,1,0,3,6,6
505,0,2,0,0,3,5,0
506,0,0,0,0,4,5,9
507,2,2,0,1,3,5,0
508,0,1,1,0,3,6,8
509,1,0,1,1,3,6,1
510,1,1,0,1,4,5,0
511,0,2,1,1,3,6,6
512,2,0,0,0,4,5,9
513,2,1,1,1,3,6,8
514,0,2,1,1,3,6,6
515,1,1,1,1,3,6,8
516,2,0,0,1,4,5,9
517,1,2,0,1,3,5,0
518,1,1,1,1,3,6,8
519,1,2,1,1,3,6,6
520,1,2,0,1,3,5,0
521,0,2,1,1,3,6,6
522,0,0,0,1,4,5,9
523,2,0,0,1,4,5,9
524,1,2,1,1,3,6,6
525,0,1,0,0,4,5,0
526,0,1,0,0,4,5,0
527,0,2,1,1,3,6,6
